species_group,status,species,species_count
Waterfowl,Increasing,Blue-winged Teal,19
Waterfowl,Increasing,Bufflehead,19
Waterfowl,Increasing,Cackling Goose,19
Waterfowl,Increasing,Canada Goose,19
Waterfowl,Increasing,Canvasback,19
Waterfowl,Increasing,Common Goldeneye,19
Waterfowl,Increasing,Common Merganser,19
Waterfowl,Increasing,Gadwall,19
Waterfowl,Increasing,Greater White-fronted Goose,19
Waterfowl,Increasing,Green-winged Teal,19
Waterfowl,Increasing,Hooded Merganser,19
Waterfowl,Increasing,Northern Shoveler,19
Waterfowl,Increasing,Redhead,19
Waterfowl,Increasing,Ring-necked Duck,19
Waterfowl,Increasing,Ross's Goose,19
Waterfowl,Increasing,Ruddy Duck,19
Waterfowl,Increasing,Snow Goose,19
Waterfowl,Increasing,Trumpeter Swan,19
Waterfowl,Increasing,Wood Duck,19
Waterfowl,Stable,American Black Duck,5
Waterfowl,Stable,American Wigeon,5
Waterfowl,Stable,Lesser Scaup,5
Waterfowl,Stable,Mallard,5
Waterfowl,Stable,Tundra Swan,5
Waterfowl,Decreasing,Brant,2
Waterfowl,Decreasing,Northern Pintail,2
Waterfowl,Data deficient,Barrow's Goldeneye,12
Waterfowl,Data deficient,Black Scoter,12
Waterfowl,Data deficient,Cinnamon Teal,12
Waterfowl,Data deficient,Common Eider,12
Waterfowl,Data deficient,Eurasian Wigeon,12
Waterfowl,Data deficient,Greater Scaup,12
Waterfowl,Data deficient,Harlequin Duck,12
Waterfowl,Data deficient,King Eider,12
Waterfowl,Data deficient,Long-tailed Duck,12
Waterfowl,Data deficient,Red-breasted Merganser,12
Waterfowl,Data deficient,Surf Scoter,12
Waterfowl,Data deficient,White-winged Scoter,12
Birds of prey,Increasing,Bald Eagle,12
Birds of prey,Increasing,Broad-winged Hawk,12
Birds of prey,Increasing,Cooper's Hawk,12
Birds of prey,Increasing,Ferruginous Hawk,12
Birds of prey,Increasing,Merlin,12
Birds of prey,Increasing,Osprey,12
Birds of prey,Increasing,Peregrine Falcon,12
Birds of prey,Increasing,Prairie Falcon,12
Birds of prey,Increasing,Red-shouldered Hawk,12
Birds of prey,Increasing,Red-tailed Hawk,12
Birds of prey,Increasing,Swainson's Hawk,12
Birds of prey,Increasing,Turkey Vulture,12
Birds of prey,Stable,Golden Eagle,3
Birds of prey,Stable,Northern Goshawk,3
Birds of prey,Stable,Rough-legged Hawk,3
Birds of prey,Decreasing,American Kestrel,2
Birds of prey,Decreasing,Northern Harrier[A],2
Birds of prey,Data deficient,Gyrfalcon,3
Birds of prey,Data deficient,Mississippi Kite,3
Birds of prey,Data deficient,Sharp-shinned Hawk,3
Wetland birds,Increasing,American Coot,19
Wetland birds,Increasing,American White Pelican,19
Wetland birds,Increasing,Bonaparte's Gull,19
Wetland birds,Increasing,California Gull,19
Wetland birds,Increasing,Caspian Tern,19
Wetland birds,Increasing,Common Loon,19
Wetland birds,Increasing,Iceland Gull,19
Wetland birds,Increasing,Marsh Wren,19
Wetland birds,Increasing,Nelson's Sparrow,19
Wetland birds,Increasing,Pacific Loon,19
Wetland birds,Increasing,Pied-billed Grebe,19
Wetland birds,Increasing,Red-necked Grebe,19
Wetland birds,Increasing,Red-throated Loon,19
Wetland birds,Increasing,Ring-billed Gull,19
Wetland birds,Increasing,Sandhill Crane,19
Wetland birds,Increasing,Virginia Rail,19
Wetland birds,Increasing,Western Grebe,19
Wetland birds,Increasing,Whooping Crane,19
Wetland birds,Increasing,Yellow-headed Blackbird,19
Wetland birds,Stable,American Dipper,11
Wetland birds,Stable,Black-crowned Night-Heron,11
Wetland birds,Stable,Common Yellowthroat,11
Wetland birds,Stable,Eared Grebe,11
Wetland birds,Stable,Great Blue Heron,11
Wetland birds,Stable,Horned Grebe,11
Wetland birds,Stable,Least Bittern,11
Wetland birds,Stable,Red-winged Blackbird,11
Wetland birds,Stable,Sedge Wren,11
Wetland birds,Stable,Sora,11
Wetland birds,Stable,Swamp Sparrow,11
Wetland birds,Decreasing,American Bittern,8
Wetland birds,Decreasing,Belted Kingfisher,8
Wetland birds,Decreasing,Black Tern,8
Wetland birds,Decreasing,Common Gallinule,8
Wetland birds,Decreasing,Franklin's Gull,8
Wetland birds,Decreasing,Green Heron,8
Wetland birds,Decreasing,Mew Gull,8
Wetland birds,Decreasing,Yellow-billed Loon,8
Wetland birds,Data deficient,Arctic Tern,17
Wetland birds,Data deficient,Brown Pelican,17
Wetland birds,Data deficient,Cattle Egret,17
Wetland birds,Data deficient,Clark's Grebe,17
Wetland birds,Data deficient,Common Tern,17
Wetland birds,Data deficient,Forster's Tern,17
Wetland birds,Data deficient,Glossy Ibis,17
Wetland birds,Data deficient,King Rail,17
Wetland birds,Data deficient,Little Blue Heron,17
Wetland birds,Data deficient,Little Gull,17
Wetland birds,Data deficient,Long-tailed Jaeger,17
Wetland birds,Data deficient,Parasitic Jaeger,17
Wetland birds,Data deficient,Pomarine Jaeger,17
Wetland birds,Data deficient,Sabine's Gull,17
Wetland birds,Data deficient,Snowy Egret,17
Wetland birds,Data deficient,White-faced Ibis,17
Wetland birds,Data deficient,Yellow Rail,17
Seabirds,Increasing,Ancient Murrelet,7
Seabirds,Increasing,Atlantic Puffin,7
Seabirds,Increasing,Black Guillemot,7
Seabirds,Increasing,Double-crested Cormorant,7
Seabirds,Increasing,Iceland Gull,7
Seabirds,Increasing,Northern Gannet,7
Seabirds,Increasing,Razorbill,7
Seabirds,Stable,Cassin's Auklet,10
Seabirds,Stable,Common Murre,10
Seabirds,Stable,Glaucous-winged Gull,10
Seabirds,Stable,Great Cormorant,10
Seabirds,Stable,Northern Fulmar,10
Seabirds,Stable,Pelagic Cormorant,10
Seabirds,Stable,Pigeon Guillemot,10
Seabirds,Stable,Rhinoceros Auklet,10
Seabirds,Stable,Thick-billed Murre,10
Seabirds,Stable,Tufted Puffin,10
Seabirds,Decreasing,Black-legged Kittiwake,5
Seabirds,Decreasing,Great Black-backed Gull,5
Seabirds,Decreasing,Herring Gull,5
Seabirds,Decreasing,Leach's Storm-Petrel,5
Seabirds,Decreasing,Roseate Tern,5
